진료년도,주상병코드,성별,입원외래구분,환자수,명세서청구건수,입내원일수,보험자부담금(선별포함),요양급여비용총액(선별포함)
2024,A022,남,외래,9 ,12 ,12 ,235850 ,559350 
2024,A022,남,입원,9 ,9 ,49 ,18142100 ,22107540 
2024,A022,여,외래,13 ,14 ,14 ,691690 ,1268990 
2024,A022,여,입원,4 ,4 ,38 ,13434960 ,15644190 
2024,A028,남,외래,14 ,19 ,19 ,283360 ,519020 
2024,A028,남,입원,15 ,15 ,112 ,31942810 ,40564980 
2024,A028,여,외래,11 ,26 ,26 ,524940 ,1119080 
2024,A028,여,입원,8 ,8 ,74 ,27348070 ,33164780 
2024,A029,남,외래,477 ,647 ,646 ,16109620 ,23544320 
2024,A029,남,입원,49 ,52 ,313 ,94978690 ,113615360 
2024,A029,여,외래,611 ,846 ,844 ,20462180 ,29926230 
2024,A029,여,입원,38 ,39 ,287 ,86905810 ,109635790 
2024,A030,남,외래,11 ,12 ,12 ,426020 ,697420 
2024,A030,남,입원,6 ,7 ,43 ,11874780 ,14639970 
2024,A030,여,외래,11 ,16 ,16 ,460250 ,734050 
2024,A030,여,입원,10 ,11 ,81 ,21105940 ,24755090 
2024,A031,여,외래,1 ,1 ,1 ,10260 ,14560 
2024,A038,남,외래,4 ,4 ,4 ,65230 ,123230 
2024,A038,남,입원,4 ,4 ,25 ,5318730 ,6293610 
2024,A038,여,외래,3 ,4 ,4 ,110570 ,200070 
2024,A038,여,입원,5 ,5 ,36 ,10581230 ,13152380 
2024,A039,남,외래,12 ,20 ,20 ,1070300 ,2066470 
2024,A039,남,입원,13 ,13 ,58 ,19905040 ,24903620 
2024,A039,여,외래,26 ,46 ,46 ,1198440 ,1942340 
2024,A039,여,입원,22 ,28 ,160 ,52197470 ,63772640 
2024,A04 ,남,외래,6 ,6 ,6 ,78180 ,108780 
2024,A04 ,여,외래,4 ,7 ,7 ,78590 ,109290 
2024,A040,남,외래,1243 ,1572 ,1567 ,35213640 ,50768570 
2024,A040,남,입원,466 ,481 ,2505 ,566964770 ,665040950 
2024,A040,여,외래,1173 ,1491 ,1490 ,34018800 ,49233000 
2024,A040,여,입원,433 ,460 ,2561 ,602288090 ,722667300 
2024,A041,남,외래,157 ,195 ,194 ,3980190 ,6113390 
2024,A041,남,입원,68 ,73 ,354 ,95579230 ,116970540 
2024,A041,여,외래,185 ,236 ,236 ,4512530 ,7020340 
2024,A041,여,입원,96 ,101 ,534 ,130704600 ,163317550 
2024,A042,남,외래,27 ,34 ,34 ,579360 ,786430 
2024,A042,남,입원,29 ,29 ,148 ,35007980 ,42293740 
2024,A042,여,외래,28 ,36 ,36 ,904430 ,1398460 
2024,A042,여,입원,26 ,27 ,144 ,32658420 ,41540650 
2024,A043,남,외래,64 ,126 ,125 ,6924340 ,11702090 
2024,A043,남,입원,74 ,83 ,503 ,166986820 ,191547330 
2024,A043,여,외래,85 ,175 ,174 ,6168280 ,11426000 
2024,A043,여,입원,91 ,95 ,643 ,215027300 ,250736890 
2024,A044,남,외래,4384 ,6233 ,6233 ,112227380 ,153716770 
2024,A044,남,입원,167 ,178 ,887 ,215489920 ,257859210 
2024,A044,여,외래,5308 ,8472 ,8472 ,149360570 ,203821670 
2024,A044,여,입원,175 ,189 ,1155 ,283221570 ,355016340 
2024,A045,남,외래,1780 ,2290 ,2285 ,60950280 ,112469150 
2024,A045,남,입원,2497 ,2652 ,12701 ,3425331660 ,4262734150 
2024,A045,여,외래,1864 ,2501 ,2499 ,64234970 ,121023680 
2024,A045,여,입원,2604 ,2799 ,14093 ,3853411290 ,4838444910 
2024,A046,남,외래,116 ,163 ,163 ,3392690 ,5867540 
2024,A046,남,입원,134 ,139 ,636 ,155197810 ,181077930 
2024,A046,여,외래,76 ,92 ,91 ,1748220 ,3031360 
2024,A046,여,입원,85 ,95 ,421 ,98683180 ,115463120 
2024,A047,남,외래,4439 ,8774 ,8745 ,326199620 ,511493770 
2024,A047,남,입원,3901 ,5059 ,44892 ,12324357070 ,14720449980 
2024,A047,여,외래,6363 ,12890 ,12854 ,424811270 ,715356240 
2024,A047,여,입원,5527 ,7559 ,73605 ,19154807720 ,23393148600 
2024,A048,남,외래,8933 ,12866 ,12862 ,313635570 ,573212620 
2024,A048,남,입원,633 ,700 ,3321 ,874555420 ,1089631650 
2024,A048,여,외래,9751 ,14380 ,14370 ,338169590 ,618540970 
2024,A048,여,입원,916 ,998 ,5122 ,1299869710 ,1650558890 
2024,A049,남,외래,242668 ,330259 ,330219 ,6217141660 ,8801509440 
2024,A049,남,입원,3922 ,4085 ,19365 ,3818883890 ,4975208680 
2024,A049,여,외래,272270 ,383612 ,383560 ,7385453220 ,10401740110 
2024,A049,여,입원,5241 ,5498 ,29751 ,5448875490 ,7192963000 
2024,A05 ,남,외래,195 ,233 ,233 ,2878330 ,3709730 
2024,A05 ,여,외래,230 ,279 ,279 ,3549770 ,4508470 
2024,A050,남,외래,35 ,41 ,41 ,580850 ,983890 
2024,A050,남,입원,2 ,2 ,6 ,922910 ,1005550 
2024,A050,여,외래,52 ,65 ,65 ,818810 ,1241710 
2024,A050,여,입원,2 ,2 ,5 ,1432530 ,1701310 
2024,A051,남,외래,1 ,1 ,1 ,32060 ,45760 
2024,A051,남,입원,1 ,2 ,41 ,48354710 ,60975260 
2024,A051,여,외래,1 ,1 ,1 ,9850 ,19550 
2024,A052,남,외래,138 ,197 ,197 ,4967910 ,7314440 
2024,A052,남,입원,25 ,37 ,298 ,99698940 ,124322820 
2024,A052,여,외래,180 ,285 ,285 ,5818640 ,8236110 
2024,A052,여,입원,21 ,24 ,247 ,71228330 ,88377850 
2024,A053,남,외래,77 ,99 ,99 ,2728280 ,4316300 
2024,A053,남,입원,18 ,22 ,126 ,33491830 ,43330820 
2024,A053,여,외래,85 ,112 ,112 ,3584920 ,5372220 
2024,A053,여,입원,25 ,27 ,150 ,39839190 ,52182410 
2024,A054,남,외래,6 ,10 ,10 ,573790 ,822990 
2024,A054,남,입원,1 ,1 ,4 ,616670 ,791680 
2024,A054,여,외래,9 ,11 ,11 ,755710 ,1076310 
2024,A058,남,외래,363 ,426 ,426 ,8139970 ,12138530 
2024,A058,남,입원,20 ,22 ,145 ,27732120 ,36035660 
2024,A058,여,외래,353 ,425 ,425 ,8477430 ,13307260 
2024,A058,여,입원,34 ,39 ,242 ,42572800 ,58353120 
2024,A059,남,외래,8586 ,10825 ,10823 ,167455580 ,233232820 
2024,A059,남,입원,199 ,204 ,1213 ,221038430 ,292234560 
2024,A059,여,외래,9494 ,12781 ,12780 ,199356930 ,275201850 
2024,A059,여,입원,296 ,314 ,1842 ,313423820 ,416469830 
2024,A060,남,외래,113 ,208 ,208 ,17351440 ,25360520 
2024,A060,남,입원,4 ,4 ,33 ,10838280 ,12813950 
2024,A060,여,외래,62 ,86 ,86 ,1493120 ,2466390 
2024,A060,여,입원,4 ,4 ,19 ,5407090 ,6604170 
2024,A061,남,외래,2 ,2 ,2 ,22120 ,61520 
2024,A061,여,외래,2 ,2 ,2 ,13380 ,18880 
2024,A062,남,외래,578 ,837 ,837 ,13258350 ,18759320 
2024,A062,남,입원,16 ,17 ,70 ,14941080 ,19075340 
2024,A062,여,외래,609 ,856 ,855 ,12717470 ,16580740 
2024,A062,여,입원,19 ,19 ,76 ,19389280 ,24318980 
2024,A063,남,외래,68 ,164 ,164 ,6558950 ,9501530 
2024,A063,여,외래,8 ,22 ,22 ,958040 ,1364540 
2024,A064,남,외래,21 ,42 ,42 ,18510530 ,22077580 
2024,A064,남,입원,6 ,8 ,102 ,38049030 ,48179410 
2024,A064,여,외래,9 ,16 ,16 ,989270 ,2074430 
2024,A064,여,입원,1 ,2 ,38 ,21548020 ,28773650 
2024,A065,남,외래,16 ,38 ,38 ,2181230 ,3685080 
2024,A065,남,입원,5 ,11 ,216 ,31056510 ,40399610 
2024,A065,여,외래,6 ,16 ,16 ,772910 ,1486710 
2024,A065,여,입원,1 ,1 ,16 ,2857710 ,3709230 
2024,A066,남,외래,9 ,19 ,18 ,1632610 ,3240080 
2024,A066,남,입원,4 ,4 ,155 ,37600210 ,51401840 
2024,A066,여,외래,9 ,75 ,75 ,3073340 ,5437640 
2024,A066,여,입원,1 ,2 ,49 ,6033350 ,7817240 
2024,A067,남,외래,87 ,252 ,252 ,3499940 ,4728640 
2024,A067,여,외래,189 ,528 ,528 ,7382620 ,10197720 
2024,A068,남,외래,26 ,80 ,80 ,1457850 ,2145550 
2024,A068,여,외래,30 ,47 ,47 ,1057030 ,1487340 
2024,A068,여,입원,1 ,1 ,2 ,604450 ,837510 
2024,A069,남,외래,774 ,1432 ,1431 ,22541250 ,31846260 
2024,A069,여,외래,733 ,1245 ,1243 ,17463940 ,23683540 
2024,A069,여,입원,1 ,2 ,0 ,3920 ,4880 
2024,A070,남,외래,4 ,4 ,4 ,38520 ,89920 
2024,A070,여,외래,1 ,1 ,1 ,12250 ,12850 
2024,A071,남,외래,13 ,19 ,19 ,527870 ,1052690 
2024,A071,여,외래,6 ,7 ,7 ,121560 ,292710 
2024,A072,남,외래,4 ,14 ,14 ,208610 ,364310 
2024,A072,남,입원,1 ,1 ,5 ,2306690 ,2783330 
2024,A072,여,외래,4 ,12 ,12 ,141770 ,186170 
2024,A072,여,입원,2 ,2 ,8 ,2149860 ,2600330 
2024,A073,남,외래,1 ,1 ,1 ,10260 ,16960 
2024,A073,여,외래,1 ,1 ,1 ,70540 ,228620 
2024,A078,남,외래,356 ,445 ,445 ,7461300 ,10796650 
2024,A078,여,외래,317 ,464 ,464 ,6091770 ,8231100 
2024,A079,남,외래,78 ,99 ,99 ,1733950 ,2444550 
2024,A079,남,입원,1 ,1 ,4 ,1222050 ,1765010 
2024,A079,여,외래,84 ,121 ,121 ,2249390 ,3049970 
2024,A079,여,입원,3 ,3 ,3 ,1201140 ,1577360 
2024,A08 ,남,외래,197 ,415 ,415 ,5268960 ,6627860 
2024,A08 ,여,외래,176 ,327 ,327 ,4130030 ,5251630 
2024,A080,남,외래,1342 ,1813 ,1811 ,47219460 ,66153110 
2024,A080,남,입원,1812 ,1875 ,9564 ,2439162060 ,2700082500 
2024,A080,여,외래,1296 ,1733 ,1732 ,44185060 ,61513740 
2024,A080,여,입원,1746 ,1816 ,9267 ,2303547320 ,2573962380 
2024,A081,남,외래,6038 ,7788 ,7785 ,233704310 ,324563950 
2024,A081,남,입원,7091 ,7435 ,35257 ,8479738530 ,9266072680 
2024,A081,여,외래,5582 ,7027 ,7021 ,209502760 ,293118540 
2024,A081,여,입원,6496 ,6825 ,33064 ,7751571840 ,8595587480 
2024,A082,남,외래,741 ,1056 ,1055 ,40473360 ,52271770 
2024,A082,남,입원,600 ,620 ,2647 ,565383000 ,620978040 
2024,A082,여,외래,639 ,933 ,933 ,35469270 ,44422570 
2024,A082,여,입원,547 ,574 ,2509 ,544854030 ,601258630 
2024,A083,남,외래,16219 ,22917 ,22907 ,434347390 ,596792630 
2024,A083,남,입원,1138 ,1186 ,4623 ,975533760 ,1091270160 
2024,A083,여,외래,17519 ,24180 ,24176 ,438529000 ,599865790 
2024,A083,여,입원,1029 ,1089 ,4532 ,932015360 ,1075303510 
2024,A084,남,외래,104965 ,145656 ,145617 ,2476307700 ,3416038530 
2024,A084,남,입원,1797 ,1971 ,6828 ,1310412180 ,1474973940 
2024,A084,여,외래,109877 ,149892 ,149861 ,2531427110 ,3503471660 
2024,A084,여,입원,1805 ,1954 ,6996 ,1337569910 ,1545120410 
2024,A085,남,외래,28473 ,39288 ,39280 ,621140780 ,865613980 
2024,A085,남,입원,763 ,829 ,2254 ,512813130 ,646464640 
2024,A085,여,외래,30252 ,41672 ,41668 ,664048040 ,925446210 
2024,A085,여,입원,930 ,999 ,2667 ,561415690 ,717449280 
2024,A09 ,남,외래,3557 ,5154 ,5154 ,72949860 ,98083650 
2024,A09 ,남,입원,11 ,11 ,39 ,4781090 ,5792570 
2024,A09 ,여,외래,3658 ,5740 ,5740 ,81591950 ,109177590 
2024,A09 ,여,입원,14 ,15 ,55 ,6824120 ,7746890 
2024,A090,남,외래,953526 ,1461681 ,1460858 ,29309833380 ,41949599330 
2024,A090,남,입원,31913 ,34433 ,146540 ,29942160770 ,38130103200 
2024,A090,여,외래,1010589 ,1526911 ,1526078 ,30585583930 ,43947532670 
2024,A090,여,입원,38727 ,42091 ,202233 ,39354153360 ,50942729800 
2024,A099,남,외래,1278089 ,1902022 ,1900739 ,44228801780 ,67341545950 
2024,A099,남,입원,71268 ,77439 ,239933 ,57736682610 ,72877526230 
2024,A099,여,외래,1439537 ,2128627 ,2127146 ,50663868300 ,78307668770 
2024,A099,여,입원,96242 ,104780 ,346445 ,80724100910 ,103283605740 
2024,A15 ,남,외래,1 ,12 ,12 ,110380 ,156580 
2024,A150,남,외래,3528 ,23104 ,22195 ,3120288180 ,3191172860 
2024,A150,남,입원,1518 ,2987 ,41994 ,17882228020 ,18482040750 
2024,A150,여,외래,2086 ,12052 ,11600 ,1247607510 ,1289426670 
2024,A150,여,입원,986 ,1956 ,28143 ,9871284730 ,10285308720 
2024,A151,남,외래,1359 ,8673 ,8346 ,1060738840 ,1083762660 
2024,A151,남,입원,271 ,512 ,6687 ,2301349070 ,2412940870 
2024,A151,여,외래,872 ,5141 ,5009 ,543316570 ,557954540 
2024,A151,여,입원,187 ,423 ,6544 ,1810281610 ,1913383580 
2024,A152,남,외래,405 ,2153 ,2016 ,244327750 ,257238500 
2024,A152,남,입원,90 ,156 ,1518 ,798451570 ,865366840 
2024,A152,여,외래,214 ,1110 ,1060 ,83179270 ,88656470 
2024,A152,여,입원,60 ,102 ,1179 ,641467310 ,684479050 
2024,A153,남,외래,2499 ,15028 ,14009 ,1972510480 ,2030296350 
2024,A153,남,입원,700 ,1239 ,13907 ,5745744480 ,5991303740 
2024,A153,여,외래,1473 ,8448 ,7959 ,955738240 ,980467640 
2024,A153,여,입원,445 ,825 ,10790 ,3753621850 ,3921674440 
2024,A154,남,외래,35 ,179 ,178 ,24875600 ,25958770 
2024,A154,남,입원,9 ,16 ,120 ,90995990 ,93362800 
2024,A154,여,외래,42 ,222 ,222 ,18966900 ,20208250 
2024,A154,여,입원,5 ,8 ,64 ,31948890 ,35907800 
2024,A155,남,외래,62 ,372 ,355 ,40724540 ,42813870 
2024,A155,남,입원,16 ,18 ,195 ,109775790 ,113477380 
2024,A155,여,외래,71 ,369 ,351 ,29459350 ,32594570 
2024,A155,여,입원,20 ,46 ,390 ,131526960 ,138964760 
2024,A156,남,외래,291 ,1506 ,1411 ,141583840 ,147887350 
2024,A156,남,입원,167 ,250 ,3112 ,1531016040 ,1601712890 
2024,A156,여,외래,133 ,644 ,599 ,71870450 ,74985540 
2024,A156,여,입원,98 ,196 ,2694 ,832138890 ,884497140 
2024,A157,남,외래,137 ,748 ,694 ,98220130 ,103386530 
2024,A157,남,입원,22 ,29 ,330 ,141942920 ,147514480 
2024,A157,여,외래,67 ,399 ,388 ,36210500 ,37799280 
2024,A157,여,입원,10 ,17 ,146 ,42174520 ,44039490 
2024,A158,남,외래,96 ,569 ,504 ,145160100 ,147468150 
2024,A158,남,입원,22 ,48 ,468 ,260944310 ,271900750 
2024,A158,여,외래,65 ,402 ,366 ,35150740 ,36131880 
2024,A158,여,입원,14 ,35 ,429 ,264892450 ,275706010 
2024,A159,남,외래,276 ,1414 ,1333 ,385969190 ,394314060 
2024,A159,남,입원,64 ,110 ,1002 ,374308890 ,391470000 
2024,A159,여,외래,191 ,870 ,820 ,99905460 ,104820770 
2024,A159,여,입원,44 ,63 ,849 ,354057580 ,370284240 
2024,A16 ,여,외래,4 ,8 ,8 ,144070 ,205170 
2024,A160,남,외래,772 ,4247 ,4099 ,551548300 ,571601610 
2024,A160,남,입원,157 ,279 ,2981 ,1059499330 ,1111366700 
2024,A160,여,외래,516 ,2634 ,2538 ,272177770 ,286945870 
2024,A160,여,입원,88 ,137 ,1288 ,543409600 ,565309700 
2024,A161,남,외래,375 ,1238 ,1157 ,134826180 ,145075280 
2024,A161,남,입원,58 ,88 ,1004 ,343092870 ,357712200 
2024,A161,여,외래,310 ,796 ,763 ,62202380 ,71241700 
2024,A161,여,입원,28 ,42 ,386 ,147409170 ,154431920 
2024,A162,남,외래,3752 ,23300 ,22001 ,3310049750 ,3390384620 
2024,A162,남,입원,851 ,1462 ,14543 ,7569167730 ,7891457810 
2024,A162,여,외래,2189 ,12749 ,12093 ,1435241640 ,1482328230 
2024,A162,여,입원,459 ,835 ,9051 ,3563636010 ,3735359260 
2024,A163,남,외래,19 ,100 ,98 ,7486860 ,8346940 
2024,A163,남,입원,2 ,3 ,28 ,13480000 ,15421070 
2024,A163,여,외래,19 ,114 ,106 ,8115270 ,8233960 
2024,A163,여,입원,4 ,4 ,77 ,30253130 ,32729170 
2024,A164,남,외래,67 ,343 ,301 ,32898330 ,37227950 
2024,A164,남,입원,8 ,18 ,226 ,144306260 ,147380350 
2024,A164,여,외래,103 ,519 ,485 ,45133550 ,50345180 
2024,A164,여,입원,16 ,31 ,449 ,97691270 ,102680380 
2024,A165,남,외래,1663 ,9464 ,8941 ,854425700 ,888925980 
2024,A165,남,입원,943 ,1535 ,15080 ,6524106450 ,6873698960 
2024,A165,여,외래,818 ,4634 ,4446 ,378541910 ,394569670 
2024,A165,여,입원,525 ,967 ,11487 ,4161633100 ,4387954640 
2024,A167,남,외래,154 ,747 ,710 ,91716170 ,96289930 
2024,A167,남,입원,38 ,57 ,630 ,345397710 ,357833960 
2024,A167,여,외래,91 ,524 ,513 ,57722330 ,62600760 
2024,A167,여,입원,17 ,40 ,449 ,74472700 ,83738770 
2024,A168,남,외래,93 ,518 ,488 ,69215390 ,72531700 
2024,A168,남,입원,19 ,32 ,415 ,227947790 ,239561200 
2024,A168,여,외래,71 ,305 ,297 ,24937450 ,28007900 
2024,A168,여,입원,4 ,6 ,120 ,32311030 ,33350030 
2024,A169,남,외래,1263 ,5352 ,5085 ,731209290 ,771696270 
2024,A169,남,입원,263 ,439 ,4194 ,1816712460 ,1903079850 
2024,A169,여,외래,952 ,3362 ,3151 ,410987460 ,444172600 
2024,A169,여,입원,170 ,267 ,2906 ,1008497330 ,1055726500 
2024,A170,남,외래,96 ,472 ,464 ,24956230 ,33051090 
2024,A170,남,입원,55 ,106 ,1620 ,914575930 ,999242510 
2024,A170,여,외래,56 ,289 ,288 ,19896450 ,22174860 
2024,A170,여,입원,33 ,112 ,1813 ,731019820 ,802649450 
2024,A171,남,외래,3 ,12 ,12 ,483490 ,531890 
2024,A171,남,입원,1 ,1 ,2 ,435190 ,574040 
2024,A171,여,외래,2 ,2 ,2 ,51250 ,112950 
2024,A178,남,외래,59 ,333 ,333 ,16501840 ,23172720 
2024,A178,남,입원,34 ,136 ,2633 ,902104040 ,1021575220 
2024,A178,여,외래,47 ,400 ,400 ,10200910 ,15596760 
2024,A178,여,입원,22 ,130 ,2519 ,608602970 ,700008550 
2024,A179,남,외래,2 ,6 ,6 ,1780780 ,1863280 
2024,A179,남,입원,1 ,1 ,2 ,186940 ,201060 
2024,A179,여,입원,3 ,9 ,288 ,80475650 ,86257260 
2024,A180,남,외래,281 ,1725 ,1707 ,144027930 ,160011030 
2024,A180,남,입원,129 ,250 ,3671 ,1588312880 ,1720068410 
2024,A180,여,외래,359 ,2226 ,2206 ,130875700 ,149189740 
2024,A180,여,입원,136 ,381 ,7093 ,2064459620 ,2240982210 
2024,A181,남,외래,145 ,824 ,816 ,69356950 ,81884970 
2024,A181,남,입원,21 ,32 ,198 ,80183840 ,86983860 
2024,A181,여,외래,119 ,702 ,700 ,52588670 ,69863000 
2024,A181,여,입원,19 ,23 ,164 ,89400090 ,100341370 
2024,A182,남,외래,490 ,3133 ,3053 ,289356720 ,310548360 
2024,A182,남,입원,63 ,91 ,680 ,288600050 ,314521190 
2024,A182,여,외래,799 ,5371 ,5248 ,400072550 ,432675490 
2024,A182,여,입원,91 ,138 ,1316 ,382213350 ,421832500 
2024,A183,남,외래,473 ,2232 ,2204 ,215713400 ,244039160 
2024,A183,남,입원,76 ,133 ,1514 ,748291100 ,790704570 
2024,A183,여,외래,490 ,2589 ,2549 ,182884620 ,218653560 
2024,A183,여,입원,74 ,127 ,1736 ,675381720 ,738757440 
2024,A184,남,외래,46 ,201 ,198 ,11554330 ,13133630 
2024,A184,남,입원,5 ,5 ,64 ,16778100 ,19780960 
2024,A184,여,외래,83 ,317 ,312 ,13980270 ,17072380 
2024,A184,여,입원,14 ,21 ,187 ,56588080 ,59615980 
2024,A185,남,외래,12 ,40 ,36 ,2734870 ,4039870 
2024,A185,여,외래,16 ,72 ,70 ,5398290 ,6546590 
2024,A186,남,외래,11 ,78 ,78 ,4109190 ,4408890 
2024,A186,남,입원,1 ,1 ,9 ,5244830 ,5417900 
2024,A186,여,외래,20 ,101 ,98 ,4231220 ,6090320 
2024,A186,여,입원,1 ,1 ,4 ,1871250 ,2444100 
2024,A187,남,외래,6 ,23 ,23 ,1521550 ,2029040 
2024,A187,여,외래,2 ,7 ,7 ,120910 ,299810 
2024,A188,남,외래,303 ,1550 ,1513 ,165407100 ,178305650 
2024,A188,남,입원,100 ,175 ,1911 ,838882050 ,901802560 
2024,A188,여,외래,270 ,1178 ,1157 ,90855200 ,101977410 
2024,A188,여,입원,58 ,86 ,1147 ,765841340 ,803932140 
2024,A190,남,외래,1 ,5 ,4 ,509310 ,509310 
2024,A190,남,입원,3 ,4 ,76 ,31136930 ,32153400 
2024,A190,여,외래,3 ,9 ,9 ,433970 ,463070 
2024,A190,여,입원,2 ,4 ,93 ,61482370 ,62808180 
2024,A191,남,외래,4 ,13 ,13 ,2214240 ,2255840 
2024,A191,남,입원,5 ,18 ,316 ,90194950 ,94798040 
2024,A191,여,외래,6 ,14 ,14 ,1089960 ,1279300 
2024,A191,여,입원,6 ,7 ,167 ,103476280 ,106530030 
2024,A192,남,외래,2 ,14 ,14 ,774130 ,819030 
2024,A192,남,입원,9 ,10 ,141 ,100564820 ,104968260 
2024,A192,여,외래,5 ,13 ,13 ,891950 ,916250 
2024,A192,여,입원,3 ,6 ,66 ,35774660 ,39360240 
2024,A198,남,외래,10 ,64 ,64 ,3308670 ,3473860 
2024,A198,남,입원,3 ,3 ,40 ,8315790 ,8625530 
2024,A198,여,외래,8 ,19 ,19 ,619240 ,690140 
2024,A198,여,입원,8 ,24 ,693 ,147490410 ,156791450 
2024,A199,남,외래,104 ,530 ,500 ,50540770 ,53035270 
2024,A199,남,입원,57 ,113 ,1460 ,760730740 ,794430560 
2024,A199,여,외래,111 ,594 ,568 ,42109510 ,44842850 
2024,A199,여,입원,69 ,200 ,3020 ,1028959240 ,1089211280 
2024,A202,남,외래,1 ,1 ,1 ,11090 ,12590 
2024,A202,여,입원,1 ,1 ,2 ,1218180 ,1642040 
2024,A207,여,외래,1 ,1 ,1 ,8890 ,12590 
2024,A208,여,외래,1 ,1 ,1 ,12410 ,17610 
2024,A209,남,외래,4 ,14 ,14 ,720350 ,1482190 
2024,A209,여,외래,7 ,8 ,8 ,132290 ,255490 
2024,A210,남,외래,1 ,1 ,1 ,12180 ,17380 
2024,A211,여,입원,1 ,9 ,0 ,159360 ,185250 
2024,A219,여,입원,1 ,1 ,8 ,2309750 ,2653780 
2024,A220,남,외래,5 ,5 ,5 ,90160 ,135860 
2024,A220,여,외래,9 ,13 ,13 ,204470 ,318270 
2024,A230,여,외래,1 ,3 ,3 ,8880 ,69780 
2024,A238,남,외래,1 ,1 ,1 ,4830 ,5930 
2024,A239,남,외래,2 ,7 ,7 ,173640 ,390540 
2024,A239,남,입원,1 ,1 ,7 ,1280630 ,1602690 
2024,A239,여,외래,2 ,4 ,4 ,75890 ,168290 
2024,A239,여,입원,1 ,1 ,10 ,2720160 ,3994730 
2024,A240,남,외래,1 ,1 ,1 ,12410 ,17610 
2024,A240,여,외래,3 ,3 ,3 ,69200 ,107710 
2024,A241,여,외래,1 ,3 ,3 ,49920 ,172620 
2024,A244,남,외래,4 ,11 ,11 ,286310 ,773790 
2024,A244,여,외래,3 ,6 ,6 ,150350 ,227350 
2024,A250,남,외래,8 ,9 ,9 ,237130 ,346730 
2024,A250,여,외래,10 ,10 ,10 ,249940 ,339850 
2024,A251,남,외래,5 ,5 ,5 ,79230 ,120630 
2024,A251,여,외래,1 ,1 ,1 ,3760 ,30060 
2024,A259,남,외래,5 ,6 ,6 ,449200 ,666000 
2024,A259,여,외래,7 ,8 ,8 ,513650 ,746950 
2024,A259,여,입원,1 ,1 ,4 ,432160 ,556850 
2024,A260,남,외래,68 ,162 ,162 ,2781240 ,4266190 
2024,A260,남,입원,1 ,1 ,5 ,1235620 ,1549530 
2024,A260,여,외래,83 ,162 ,162 ,2539790 ,3970220 
2024,A260,여,입원,2 ,2 ,9 ,3127180 ,4422490 
2024,A268,남,외래,7 ,24 ,24 ,492800 ,703970 
2024,A268,남,입원,1 ,1 ,6 ,1029770 ,1384010 
2024,A268,여,외래,8 ,15 ,15 ,653440 ,926050 
2024,A269,남,외래,52 ,88 ,88 ,1590360 ,2171790 
2024,A269,남,입원,3 ,4 ,14 ,3482790 ,4322980 
2024,A269,여,외래,64 ,99 ,99 ,1708410 ,2583610 
